   nnh hmumu   bkg hmumu   ffh other          2f          4f       aa_4f          5f     strange
     57.5344     31.1266      411588  4.2237e+07 4.59202e+07      335618      223052     1766.29
   nnh hmumu   bkg hmumu   ffh other          2f          4f       aa_4f          5f     strange
     54.7643     27.7142     6455.09 1.30946e+06 1.01354e+06     14881.5     5752.44           0
   nnh hmumu   bkg hmumu   ffh other          2f          4f       aa_4f          5f     strange
     54.1594     27.5005     6396.56 1.20606e+06      923988     13135.4     5369.87           0
   nnh hmumu   bkg hmumu   ffh other          2f          4f       aa_4f          5f     strange
     52.7192     27.0493     6241.46 1.09483e+06      755065      9411.3     4488.04           0
   nnh hmumu   bkg hmumu   ffh other          2f          4f       aa_4f          5f     strange
     52.7149     27.0401     6236.44 1.08966e+06      752307     9368.31     4476.41           0
   nnh hmumu   bkg hmumu   ffh other          2f          4f       aa_4f          5f     strange
     52.4047     26.7313        6187      784258      729898     9312.57     4436.79           0
   nnh hmumu   bkg hmumu   ffh other          2f          4f       aa_4f          5f     strange
     50.8897     26.0105     164.707     37443.8     27518.9     328.969     352.958           0
   nnh hmumu   bkg hmumu   ffh other          2f          4f       aa_4f          5f     strange
     50.8765     25.9708     120.015     23541.3     26076.7     328.422     352.199           0
   nnh hmumu   bkg hmumu   ffh other          2f          4f       aa_4f          5f     strange
     50.6713    0.241031     3.19727       22840     15549.1     193.198     100.962           0
   nnh hmumu   bkg hmumu   ffh other          2f          4f       aa_4f          5f     strange
     49.8651    0.019933     3.15201     11697.2     10780.2     159.041     75.4399           0
   nnh hmumu   bkg hmumu   ffh other          2f          4f       aa_4f          5f     strange
     49.6831  0.00979961     3.15201     956.838     10331.7     149.287     73.4995           0
   nnh hmumu   bkg hmumu   ffh other          2f          4f       aa_4f          5f     strange
     48.6939  0.00931703     3.15201     96.8355      9327.1     139.039     63.7538           0
